"","17-AAG","AEW541","AZD0530","AZD6244","Erlotinib","Irinotecan","L-685458","Lapatinib","LBW242","Nilotinib","Nutlin-3","Paclitaxel","Panobinostat","PD-0325901","PD-0332991","PF2341066","PHA-665752","PLX4720","RAF265","Sorafenib","TAE684","TKI258","Topotecan","ZD-6474"
"Nutlin-3",0.136233042992723,0.157026642604752,1,0.134282095821041,0.157026642604752,-0.0891676449050057,-0.0247853261939898,1,0.134282095821041,0.154277110673788,1,0.0931190882906147,0.09108393647935,1,-0.0725646973822005,1,0.134282095821041,0.184537031308387,0.194369481484302,0.0824728930533391,1,1,1,0.184537031308387
"Paclitaxel",0.297132444073138,0.363546375697991,0.0931190882906147,0.34781961479335,0.363546375697991,-0.0265968977249245,0.210494741923745,0.0931190882906147,0.34781961479335,0.341809096128041,0.0931190882906147,1,0.187233762130885,0.0931190882906147,0.349275157723534,0.0931190882906147,0.34781961479335,0.253892267055528,0.0838064249751101,0.335216013812745,0.0931190882906147,0.0931190882906147,0.0931190882906147,0.253892267055528
"Panobinostat",0.213113275023693,0.372015508313974,0.09108393647935,0.110175446180745,0.372015508313974,-0.0226638264748143,0.164930197479053,0.09108393647935,0.110175446180745,0.324377221159685,0.09108393647935,0.187233762130885,1,0.09108393647935,0.305007663345441,0.09108393647935,0.110175446180745,-0.0834007343519036,0.080206462675717,0.115072217273815,0.09108393647935,0.09108393647935,0.09108393647935,-0.0834007343519036
"PD-0325901",0.136233042992723,0.157026642604752,1,0.134282095821041,0.157026642604752,-0.0891676449050057,-0.0247853261939898,1,0.134282095821041,0.154277110673788,1,0.0931190882906147,0.09108393647935,1,-0.0725646973822005,1,0.134282095821041,0.184537031308387,0.194369481484302,0.0824728930533391,1,1,1,0.184537031308387
"PD-0332991",0.143945708502555,0.227677712382395,-0.0725646973822005,0.220196526419234,0.227677712382395,0.0497149170739211,0.185557480771773,-0.0725646973822005,0.220196526419234,0.254418400169689,-0.0725646973822005,0.349275157723534,0.305007663345441,-0.0725646973822005,1,-0.0725646973822005,0.220196526419234,0.145278467069278,0.126882831842766,0.123469914835295,-0.0725646973822005,-0.0725646973822005,-0.0725646973822005,0.145278467069278
"PF2341066",0.136233042992723,0.157026642604752,1,0.134282095821041,0.157026642604752,-0.0891676449050057,-0.0247853261939898,1,0.134282095821041,0.154277110673788,1,0.0931190882906147,0.09108393647935,1,-0.0725646973822005,1,0.134282095821041,0.184537031308387,0.194369481484302,0.0824728930533391,1,1,1,0.184537031308387
"PHA-665752",0.243152496794342,0.326739677757643,0.134282095821041,1,0.326739677757643,0.0148149237411701,0.132098486346944,0.134282095821041,1,0.195158788518464,0.134282095821041,0.34781961479335,0.110175446180745,0.134282095821041,0.220196526419234,0.134282095821041,1,0.0880029121196066,0.158182008992073,0.0194462254416599,0.134282095821041,0.134282095821041,0.134282095821041,0.0880029121196066
"PLX4720",0.0554691326444494,0.102475330727678,0.184537031308387,0.0880029121196066,0.102475330727678,-0.112156805323447,0.205292717492661,0.184537031308387,0.0880029121196066,0.222361367277294,0.184537031308387,0.253892267055528,-0.0834007343519036,0.184537031308387,0.145278467069278,0.184537031308387,0.0880029121196066,1,0.298796117909346,0.0794790457596077,0.184537031308387,0.184537031308387,0.184537031308387,1
"RAF265",0.15527891806731,0.203280096529198,0.194369481484302,0.158182008992073,0.203280096529198,0.031726270018296,0.0100758672720766,0.194369481484302,0.158182008992073,0.113523087255298,0.194369481484302,0.0838064249751101,0.080206462675717,0.194369481484302,0.126882831842766,0.194369481484302,0.158182008992073,0.298796117909346,1,0.0498073528260237,0.194369481484302,0.194369481484302,0.194369481484302,0.298796117909346
"Sorafenib",0.253458600013546,0.183578570458649,0.0824728930533391,0.0194462254416599,0.183578570458649,-0.0242488513984199,0.191782282185722,0.0824728930533391,0.0194462254416599,0.178165993711858,0.0824728930533391,0.335216013812745,0.115072217273815,0.0824728930533391,0.123469914835295,0.0824728930533391,0.0194462254416599,0.0794790457596077,0.0498073528260237,1,0.0824728930533391,0.0824728930533391,0.0824728930533391,0.0794790457596077
"TAE684",0.136233042992723,0.157026642604752,1,0.134282095821041,0.157026642604752,-0.0891676449050057,-0.0247853261939898,1,0.134282095821041,0.154277110673788,1,0.0931190882906147,0.09108393647935,1,-0.0725646973822005,1,0.134282095821041,0.184537031308387,0.194369481484302,0.0824728930533391,1,1,1,0.184537031308387
"TKI258",0.136233042992723,0.157026642604752,1,0.134282095821041,0.157026642604752,-0.0891676449050057,-0.0247853261939898,1,0.134282095821041,0.154277110673788,1,0.0931190882906147,0.09108393647935,1,-0.0725646973822005,1,0.134282095821041,0.184537031308387,0.194369481484302,0.0824728930533391,1,1,1,0.184537031308387
"Topotecan",0.136233042992723,0.157026642604752,1,0.134282095821041,0.157026642604752,-0.0891676449050057,-0.0247853261939898,1,0.134282095821041,0.154277110673788,1,0.0931190882906147,0.09108393647935,1,-0.0725646973822005,1,0.134282095821041,0.184537031308387,0.194369481484302,0.0824728930533391,1,1,1,0.184537031308387
"ZD-6474",0.0554691326444494,0.102475330727678,0.184537031308387,0.0880029121196066,0.102475330727678,-0.112156805323447,0.205292717492661,0.184537031308387,0.0880029121196066,0.222361367277294,0.184537031308387,0.253892267055528,-0.0834007343519036,0.184537031308387,0.145278467069278,0.184537031308387,0.0880029121196066,1,0.298796117909346,0.0794790457596077,0.184537031308387,0.184537031308387,0.184537031308387,1
