"","x"
"1942",1
"1943",5
"1944",89
"1945",27
"1946",30
"1947",1
"1948",12
"1949",15
"1950",5
"1951",6
"1952",33
"1953",7
"1954",4
"1955",1
"1956",2
"1957",73
"1958",0
"1959",0
"1960",7
"1961",6
"1962",1
"1963",0
"1964",0
"1965",22
"1966",1
"1967",2
"1968",52
"1969",72
"1970",22
"1971",0
"1972",2
"1973",86
"1974",3
"1975",2
"1976",9
"1977",22
"1978",0
"1979",47
"1980",0
"1981",0
"1982",2
"1983",2
"1984",16
"1985",7
"1986",45
"1987",1
"1988",20
"1989",0
"1990",0
"1991",22
"1992",1
"1993",0
"1994",20
"1995",4
"1996",20
"1997",10
"1998",3
"1999",56
"2000",26
"2001",3
"2002",55
"2003",0
"2004",22
"2005",9
"2006",2
"2007",32
"2008",69
"2009",4
"2010",4
"2011",72
"2012",11
"2013",1
"2014",26
"2015",34
"2016",22
"2017",3
"2018",10
"2019",81
"2020",23
"2021",0
"2022",4
"2023",5
"2024",2
"2025",0
"2026",13
"2027",1
"2028",68
"2029",7
"2030",51
"2031",44
"2032",23
"2033",0
"2034",4
"2035",2
"2036",0
"2037",28
"2038",44
"2039",2
"2040",2
"2041",13
"2042",27
"2043",10
"2044",1
"2045",22
"2046",0
"2047",0
"2048",6
"2049",3
"2050",29
"2051",5
"2052",1
"2053",4
"2054",3
"2055",43
"2056",0
"2057",2
"2058",2
"2059",7
"2060",5
"2061",0
"2062",0
"2063",0
"2064",1
"2065",56
"2066",28
"2067",62
"2068",4
"2069",31
"2070",4
"2071",27
"2072",59
"2073",1
"2074",3
"2075",0
"2076",63
"2077",16
"2078",21
"2079",1
"2080",0
"2081",3
"2082",0
"2083",18
"2084",49
"2085",0
"2086",1
"2087",8
"2088",22
"2089",9
"2090",30
"2091",56
"2092",2
"2093",2
"2094",6
"2095",32
"2096",36
"2097",0
"2098",10
"2099",2
"2100",24
"2101",5
"2102",0
"2103",1
"2104",27
"2105",9
"2106",3
"2107",12
"2108",7
"2109",35
"2110",6
"2111",5
"2112",24
"2113",9
"2114",11
"2115",24
"2116",33
"2117",5
"2118",1
"2119",0
"2120",48
"2121",10
"2122",2
"2123",3
"2124",55
"2125",0
"2126",15
"2127",2
"2128",15
"2129",3
"2130",2
"2131",4
"2132",4
"2133",0
"2134",23
"2135",68
"2136",1
"2137",11
"2138",4
"2139",4
"2140",21
"2141",3
"2142",3
"2143",0
"2144",24
"2145",45
"2146",20
"2147",0
"2148",80
"2149",34
"2150",5
"2151",39
"2152",0
"2153",6
"2154",26
"2155",15
"2156",7
"2157",4
"2158",6
"2159",24
"2160",20
"2161",0
"2162",1
"2163",42
"2164",2
"2165",50
"2166",1
"2167",0
"2168",3
"2169",7
"2170",0
"2171",84
"2172",1
"2173",6
"2174",6
"2175",11
"2176",3
"2177",2
"2178",43
"2179",3
"2180",2
"2181",4
"2182",33
"2183",25
"2184",4
"2185",0
"2186",0
"2187",0
"2188",5
"2189",7
"2190",0
"2191",0
"2192",8
"2193",2
"2194",45
"2195",7
"2196",34
"2197",1
"2198",3
"2199",11
"2200",0
"2201",10
"2202",2
"2203",2
"2204",0
"2205",2
"2206",6
"2207",50
"2208",11
"2209",4
"2210",12
"2211",1
"2212",0
"2213",4
"2214",19
"2215",4
"2216",50
"2217",7
"2218",21
"2219",37
"2220",3
"2221",4
"2222",0
"2223",4
"2224",2
"2225",0
"2226",83
"2227",6
"2228",0
"2229",61
"2230",0
"2231",41
"2232",83
"2233",2
"2234",9
"2235",37
"2236",0
"2237",0
"2238",18
"2239",55
"2240",0
"2241",2
"2242",73
"2243",7
"2244",6
"2245",7
"2246",0
"2247",6
"2248",0
"2249",4
"2250",1
"2251",16
"2252",34
"2253",0
"2254",1
"2255",1
"2256",0
"2257",2
"2258",2
"2259",4
"2260",0
"2261",0
"2262",51
"2263",0
"2264",2
"2265",18
"2266",83
"2267",4
"2268",29
"2269",16
"2270",36
"2271",65
"2272",0
"2273",75
"2274",8
"2275",53
"2276",27
"2277",0
"2278",2
"2279",13
"2280",0
"2281",0
"2282",46
"2283",0
"2284",0
"2285",33
"2286",69
"2287",47
"2288",0
"2289",0
"2290",54
"2291",0
"2292",2
"2293",0
"2294",0
"2295",20
"2296",2
"2297",15
"2298",6
"2299",0
"2300",1
"2301",1
"2302",1
"2303",21
"2304",82
"2305",10
"2306",1
"2307",58
"2308",0
"2309",19
"2310",7
"2311",1
"2312",3
"2313",25
"2314",5
"2315",12
"2316",30
"2317",1
"2318",17
"2319",2
"2320",2
"2321",10
"2322",15
"2323",11
"2324",0
"2325",5
"2326",1
