,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
82,X134,0.563177497,0.642163619,0.461707617,0.553316282,0.639654942,0.578812052,0.432935101,0.579647981,0.709659361,0.670906908,0.583198136,
83,X135,0.63874831,0.549130076,0.558620187,0.531622511,0.459808107,0.483306812,0.505910708,0.502813589,0.660536622,0.60524828,0.54957452,
84,X136,0.379284933,0.418923778,0.604039641,0.500234546,0.531386971,0.422483709,0.462952323,0.409630943,0.589765896,0.492939353,0.481164209,
85,X1371,0.431508303,0.542685533,0.564011303,0.453314306,0.494218775,0.457150622,0.432162112,0.548806983,0.598249848,0.52294384,0.504505162,
86,X1372,0.249682948,0.322913301,0.194249109,0.434420949,0.263927038,0.344958819,0.436735742,0.309095618,0.362841518,0.361521911,0.328034695,
87,X1373,0.180099481,0.307091512,0.417928004,0.401606477,0.356660199,0.281849051,0.232331529,0.199117837,0.384213311,0.328670154,0.308956756,
88,X1375,0.416225371,0.486275131,0.399861822,0.468513859,0.459221389,0.444931874,0.445403175,0.428093214,0.559759215,0.440649676,0.454893473,
89,X1377,0.024386169,0.098567662,-0.007101795,0.119623633,0.037743053,0.229097247,0.237559706,0.047252207,0.1328969,0.042645484,0.096267027,
90,X140,0.58505463,0.478973457,0.64266367,0.464369746,0.538296725,0.536534163,0.387634396,0.55241816,0.376287478,0.497422573,0.5059655,
91,X147,0.292252298,0.502207072,0.399622557,0.370674695,0.318022586,0.331178847,0.302570364,0.362476789,0.426403793,0.283130234,0.358853923,
92,X1494,0.393636739,0.317409534,0.282655433,0.419159794,0.339880018,0.476993781,0.501364216,0.417936546,0.52741621,0.477131991,0.415358426,
93,X1495,0.320139387,0.46478633,0.452831949,0.47818094,0.41567448,0.523314686,0.590753632,0.490090129,0.416734256,0.509469186,0.466197498,
94,X1498,0.386053164,0.328720612,0.371044289,0.346784682,0.403924351,0.445221206,0.329704907,0.403314557,0.323358286,0.294591793,0.363271785,
95,X150,0.122929067,0.598079012,0.394964523,0.572224766,0.43845952,0.441555378,0.621454963,0.364146308,0.487547925,0.498817314,0.454017877,
96,X1502,0.426938541,0.558283015,0.43279036,0.500387798,0.503522181,0.406987387,0.380339449,0.216163757,0.600945738,0.262166014,0.428852424,
97,X151,0.503969195,0.435759592,0.648882229,0.61127205,0.569708254,0.619753223,0.512794279,0.714541364,0.518939271,0.534714801,0.567033426,
98,X152,0.528204123,0.481833048,0.670840204,0.68699632,0.42098423,0.711666725,0.672470689,0.685541544,0.770969316,0.400558278,0.603006448,
99,X1526,0.525991788,0.419782897,0.611013056,0.49280325,0.527704454,0.483230791,0.485620584,0.590902489,0.612257417,0.523369621,0.527267635,
100,X1527,0.181596667,0.238835679,0.200210724,0.238703859,0.250306826,0.096297115,0.325057482,0.146288916,0.249423372,0.314548635,0.224126927,
101,X1529,0.483652323,0.411236613,0.536401634,0.336542675,0.283279586,0.291907308,0.429541435,0.362938606,0.31359128,0.498276617,0.394736808,
102,X153,0.282858112,0.272551608,0.444321981,0.346352327,0.334007329,0.565200251,0.533344942,0.601296215,0.444669582,0.486024881,0.431062723,
103,X154,0.465820931,0.388965411,0.511951145,0.39694775,0.507666388,0.553926042,0.40822763,0.382477236,0.508110059,0.424689498,0.454878209,
104,X155,0.4517,0.535073218,0.588309919,0.589413674,0.70944675,0.423669059,0.512279552,0.63579864,0.49212063,0.571777469,0.550958891,
105,X156,0.501273253,0.442568096,0.418194821,0.413653839,0.280545518,0.150711441,0.345961145,0.435201569,0.327471867,0.345851376,0.366143293,
106,X157,0.44015296,0.420976494,0.481054352,0.398080515,0.507749393,0.514229129,0.577091667,0.587716954,0.507186947,0.478635995,0.491287441,
107,X158,0.50353692,0.449430263,0.547376592,0.51026108,0.527861643,0.40918202,0.594159984,0.464377781,0.615276167,0.558762874,0.518022533,
108,X159,0.504322927,0.433666766,0.421343171,0.48330614,0.442918384,0.431215626,0.662870341,0.435254798,0.416178727,0.551402634,0.478247951,
109,X163,0.293117835,0.440838633,0.416882283,0.506418064,0.442758057,0.460752951,0.313353299,0.499214782,0.392930469,0.389888628,0.4156155,
110,X165,0.394621788,0.37037008,0.416313103,0.217668534,0.386495782,0.417649212,0.397965872,0.347839828,0.338195418,0.438705251,0.372582487,
111,X166,0.427619348,0.417114206,0.268730425,0.504261549,0.381258379,0.543482998,0.482604004,0.348020421,0.40594522,0.370791044,0.414982759,
112,X167,0.568357513,0.572269727,0.503320873,0.549318172,0.454128523,0.473372342,0.514257354,0.492495918,0.518305504,0.489442624,0.513526855,
113,X17,0.357699623,0.568518339,0.573810454,0.247922663,0.478993358,0.518481091,0.440664899,0.411027984,0.593944544,0.622624865,0.481368782,
114,X170,0.575307057,0.529202521,0.49732809,0.41390632,0.385524697,0.533158055,0.434679022,0.626443811,0.279129054,0.553277519,0.482795615,
115,X171,0.324792181,0.604155707,0.391859397,0.323657815,0.30575588,0.315506802,0.372868887,0.50464832,0.409971323,0.332006048,0.388522236,
116,X172,0.587836685,0.425950543,0.323413064,0.369741261,0.260446227,0.535694773,0.389345334,0.486067293,0.302245773,0.628541391,0.430928235,
117,X173,0.322143968,0.162717642,0.259224175,0.279720613,0.382510747,0.337629696,0.167635908,0.185822952,0.29104944,0.203489821,0.259194496,
118,X175,0.511434248,0.310677486,0.286222854,0.376063101,0.345862785,0.313210782,0.319359469,0.42852703,0.5273367,0.395052744,0.38137472,
119,X176,0.473634956,0.656925741,0.391172124,0.600437109,0.580253238,0.487751962,0.465841541,0.615612197,0.447152112,0.499344573,0.521812555,
120,X177,0.496011925,0.531117588,0.484250132,0.475604188,0.490646871,0.445486749,0.561444921,0.534900346,0.592855622,0.661719991,0.527403833,
121,X178,0.550936666,0.622264053,0.617481428,0.471464535,0.707506176,0.725249028,0.627777685,0.665916335,0.650042746,0.588363877,0.622700253,
122,X179,0.441609507,0.414503441,0.447745856,0.543860156,0.443033597,0.521647408,0.635765435,0.453159343,0.431596492,0.543764861,0.48766861,
123,X180,0.565277539,0.353882604,0.499293022,0.47685514,0.426856416,0.426670309,0.397270456,0.436132882,0.408929605,0.439463054,0.443063103,
124,X182,0.366635625,0.516382178,0.46712863,0.356026269,0.524580029,0.552720081,0.457353421,0.562645943,0.569467458,0.40472756,0.477766719,
125,X184,0.404325684,0.312628261,0.439433926,0.412956193,0.404060642,0.346471802,0.328842943,0.480774042,0.447792139,0.272882822,0.385016845,
126,X185,0.399081672,0.223096612,0.246415603,0.356384778,0.275598536,0.255721355,0.345685256,0.330346952,0.275923124,0.398800608,0.310705449,
127,X186,0.579808156,0.481935987,0.570623086,0.375692308,0.361688601,0.33066029,0.542917473,0.339835551,0.445850948,0.275546101,0.43045585,
128,X190,0.455460939,0.262373741,0.262239412,0.437299684,0.510223429,0.318340142,0.321780767,0.377507183,0.488792385,0.415114628,0.384913231,
129,X192,0.291805038,0.321321527,0.404764455,0.318364788,0.487575834,0.381876684,0.531131043,0.381972067,0.496178665,0.459535914,0.407452602,
130,X193,0.393715335,0.494165933,0.455524018,0.425580918,0.447227053,0.461362437,0.395520295,0.42965742,0.579054095,0.402467757,0.448427526,
131,X194,0.583991613,0.386242693,0.561527929,0.645065244,0.495962448,0.56250785,0.510040226,0.520197388,0.522963638,0.532425124,0.532092415,
132,X196,0.225776503,0.379127644,0.245886125,0.369584203,0.323449178,0.361244297,0.289701126,0.316219101,0.117792888,0.42503454,0.305381561,
133,X197,0.376993323,0.209892712,0.342191567,0.267557604,0.385227614,0.484469069,0.227655738,0.268619086,0.388334774,0.315190874,0.326613236,
134,X199,0.404419884,0.375563363,0.184886931,0.285709231,0.38834068,0.459684094,0.397088377,0.366730634,0.282531708,0.410051671,0.355500657,
135,X200,0.686180357,0.593317296,0.50793304,0.436623858,0.484008536,0.534852177,0.605815288,0.614079625,0.508352392,0.656032747,0.562719532,
136,X201,0.473822877,0.530505398,0.346865354,0.382821505,0.508578855,0.525330865,0.616908801,0.580257777,0.403296471,0.575386622,0.494377453,
137,X202,0.5164986,0.323987483,0.353548563,0.271257102,0.337709456,0.403871585,0.501396521,0.525969635,0.399756394,0.44258283,0.407657817,
138,X203,0.682389246,0.538118022,0.7293934,0.576576054,0.683965405,0.644715143,0.633503291,0.658481317,0.635048525,0.717769048,0.649995945,
139,X204,0.544498387,0.389170513,0.479249313,0.480724909,0.446485696,0.514913706,0.426577409,0.481650232,0.482645842,0.527493362,0.477340937,
140,X205,0.527775916,0.429595867,0.523161493,0.426034562,0.635332034,0.501621665,0.454226923,0.547786258,0.544116842,0.619372681,0.520902424,
141,X206,0.697906153,0.656061946,0.493058116,0.579726174,0.466480871,0.561454611,0.63505893,0.471843923,0.638494194,0.649799363,0.584988428,
142,X207,0.270207611,0.453125931,0.473616039,0.343203167,0.43572697,0.440511501,0.375813213,0.348277627,0.394853258,0.28894311,0.382427843,
143,X208,0.570203747,0.505665987,0.494284365,0.532202564,0.503357325,0.402736285,0.53826019,0.518108523,0.470620323,0.49630637,0.503174568,
144,X219,0.499448014,0.508564978,0.523603517,0.459893623,0.618537525,0.635675177,0.587957968,0.724196005,0.583657361,0.696104392,0.583763856,
145,X221,0.725276216,0.619169416,0.590232998,0.561552498,0.616975936,0.706710448,0.657836635,0.639090639,0.711511775,0.553375564,0.638173213,
146,X222,0.72624756,0.706622471,0.687524317,0.639444163,0.7307248,0.710255321,0.622831337,0.673732598,0.628988868,0.708385482,0.683475692,
147,X223,0.543633321,0.533404348,0.628058628,0.494993311,0.589004462,0.477235222,0.505888403,0.514766681,0.544080343,0.685644527,0.551670925,
148,X224,0.467948013,0.48964087,0.486318869,0.476325229,0.46703833,0.549042448,0.430550751,0.381425847,0.508789298,0.428204021,0.468528368,
149,X226,0.77521738,0.527876304,0.590571488,0.77209823,0.710721986,0.615069302,0.666715338,0.650663284,0.732613755,0.557490319,0.659903739,
150,X228,0.619550388,0.57019599,0.639640814,0.574631918,0.595159698,0.552782838,0.560871799,0.522158768,0.394360996,0.60019531,0.562954852,
151,X229,0.55996727,0.44197959,0.400448227,0.539439317,0.557504105,0.450858417,0.376230399,0.416594235,0.478366253,0.448531078,0.466991889,
152,X230,0.586953039,0.435381691,0.580493759,0.496607955,0.330052677,0.321620411,0.566066047,0.417159734,0.390639758,0.442293936,0.456726901,
153,X231,0.569420757,0.625321167,0.684689299,0.540218815,0.654236096,0.649786043,0.508569672,0.540790034,0.612079847,0.578413161,0.596352489,
154,X238,0.68974371,0.685447132,0.434618102,0.633828148,0.579771981,0.581284454,0.469407682,0.620145281,0.574354671,0.592525565,0.586112673,
155,X245,0.348110284,0.527400392,0.479416728,0.45889855,0.576879621,0.573562738,0.586850345,0.584874563,0.550451947,0.510198688,0.519664386,
156,X249,0.512698953,0.339474188,0.556799131,0.356511706,0.534914002,0.443243678,0.606745194,0.544454586,0.515162063,0.439312387,0.484931589,
