"","17-AAG","AEW541","AZD0530","AZD6244","Erlotinib","Irinotecan","L-685458","Lapatinib","LBW242","Nilotinib","Nutlin-3","Paclitaxel","Panobinostat","PD-0325901","PD-0332991","PF2341066","PHA-665752","PLX4720","RAF265","Sorafenib","TAE684","TKI258","Topotecan","ZD-6474"
"Nutlin-3",0.570493576012635,0.672028142349438,1,0.623356124224535,0.672028142349438,0.449217541949756,0.576351842362589,1,0.623356124224535,0.67095637820018,1,0.630775949204949,0.666094723136335,1,0.550369599224544,1,0.623356124224535,0.509024644122762,0.467953468791484,0.521883615594445,1,1,1,0.509024644122762
"Paclitaxel",0.72083793810861,0.781238932428842,0.630775949204949,0.728060809257137,0.781238932428842,0.465137373096849,0.729424894636705,0.630775949204949,0.728060809257137,0.720082587722111,0.630775949204949,1,0.682556253713762,0.630775949204949,0.758516436790032,0.630775949204949,0.728060809257137,0.714842942282686,0.642411681237076,0.703354780183932,0.630775949204949,0.630775949204949,0.630775949204949,0.714842942282686
"Panobinostat",0.615154702453215,0.748395770910692,0.666094723136335,0.645781099329,0.748395770910692,0.458803757758966,0.665281843120364,0.666094723136335,0.645781099329,0.757876108208284,0.666094723136335,0.682556253713762,1,0.666094723136335,0.655878862850619,0.666094723136335,0.645781099329,0.492559116793535,0.524822487955325,0.532283303825042,0.666094723136335,0.666094723136335,0.666094723136335,0.492559116793535
"PD-0325901",0.570493576012635,0.672028142349438,1,0.623356124224535,0.672028142349438,0.449217541949756,0.576351842362589,1,0.623356124224535,0.67095637820018,1,0.630775949204949,0.666094723136335,1,0.550369599224544,1,0.623356124224535,0.509024644122762,0.467953468791484,0.521883615594445,1,1,1,0.509024644122762
"PD-0332991",0.617833838600471,0.720771891555831,0.550369599224544,0.676037113944734,0.720771891555831,0.486904265313589,0.71404845399292,0.550369599224544,0.676037113944734,0.696297711716203,0.550369599224544,0.758516436790032,0.655878862850619,0.550369599224544,1,0.550369599224544,0.676037113944734,0.625083942590918,0.671499051998283,0.605777824335029,0.550369599224544,0.550369599224544,0.550369599224544,0.625083942590918
"PF2341066",0.570493576012635,0.672028142349438,1,0.623356124224535,0.672028142349438,0.449217541949756,0.576351842362589,1,0.623356124224535,0.67095637820018,1,0.630775949204949,0.666094723136335,1,0.550369599224544,1,0.623356124224535,0.509024644122762,0.467953468791484,0.521883615594445,1,1,1,0.509024644122762
"PHA-665752",0.672917984969465,0.735256873098971,0.623356124224535,1,0.735256873098971,0.469804030416564,0.62920516681604,0.623356124224535,1,0.65044157240468,0.623356124224535,0.728060809257137,0.645781099329,0.623356124224535,0.676037113944734,0.623356124224535,1,0.573688097232791,0.617979970221618,0.521970450576847,0.623356124224535,0.623356124224535,0.623356124224535,0.573688097232791
"PLX4720",0.557309173364712,0.658742757523635,0.509024644122762,0.573688097232791,0.658742757523635,0.368253184276192,0.672048880545221,0.509024644122762,0.573688097232791,0.627035684292358,0.509024644122762,0.714842942282686,0.492559116793535,0.509024644122762,0.625083942590918,0.509024644122762,0.573688097232791,1,0.646338491363865,0.58865694066856,0.509024644122762,0.509024644122762,0.509024644122762,1
"RAF265",0.60364797316922,0.674616716349116,0.467953468791484,0.617979970221618,0.674616716349116,0.462082212452047,0.566083052164932,0.467953468791484,0.617979970221618,0.577292852714242,0.467953468791484,0.642411681237076,0.524822487955325,0.467953468791484,0.671499051998283,0.467953468791484,0.617979970221618,0.646338491363865,1,0.600478834596534,0.467953468791484,0.467953468791484,0.467953468791484,0.646338491363865
"Sorafenib",0.640725948692322,0.622347576501047,0.521883615594445,0.521970450576847,0.622347576501047,0.34193723413046,0.596072918591732,0.521883615594445,0.521970450576847,0.604063307039938,0.521883615594445,0.703354780183932,0.532283303825042,0.521883615594445,0.605777824335029,0.521883615594445,0.521970450576847,0.58865694066856,0.600478834596534,1,0.521883615594445,0.521883615594445,0.521883615594445,0.58865694066856
"TAE684",0.570493576012635,0.672028142349438,1,0.623356124224535,0.672028142349438,0.449217541949756,0.576351842362589,1,0.623356124224535,0.67095637820018,1,0.630775949204949,0.666094723136335,1,0.550369599224544,1,0.623356124224535,0.509024644122762,0.467953468791484,0.521883615594445,1,1,1,0.509024644122762
"TKI258",0.570493576012635,0.672028142349438,1,0.623356124224535,0.672028142349438,0.449217541949756,0.576351842362589,1,0.623356124224535,0.67095637820018,1,0.630775949204949,0.666094723136335,1,0.550369599224544,1,0.623356124224535,0.509024644122762,0.467953468791484,0.521883615594445,1,1,1,0.509024644122762
"Topotecan",0.570493576012635,0.672028142349438,1,0.623356124224535,0.672028142349438,0.449217541949756,0.576351842362589,1,0.623356124224535,0.67095637820018,1,0.630775949204949,0.666094723136335,1,0.550369599224544,1,0.623356124224535,0.509024644122762,0.467953468791484,0.521883615594445,1,1,1,0.509024644122762
"ZD-6474",0.557309173364712,0.658742757523635,0.509024644122762,0.573688097232791,0.658742757523635,0.368253184276192,0.672048880545221,0.509024644122762,0.573688097232791,0.627035684292358,0.509024644122762,0.714842942282686,0.492559116793535,0.509024644122762,0.625083942590918,0.509024644122762,0.573688097232791,1,0.646338491363865,0.58865694066856,0.509024644122762,0.509024644122762,0.509024644122762,1
