From	To
6296_at	851775
54587_at	83878
113230_at	58859
10652_at	853775
151658_at	36383
134549_at	67343
4809_at	853113
79740_at	102723886
51123_at	64393
185_at	4857
4201_at	854696
4715_at	853202
149461_at	5740362
51434_at	83866
6396_at	851644
149628_at	41260
64393_at	57590
51626_at	139322
11171_at	853272
10311_at	850702
149069_at	40147
81932_at	80714
51339_at	283673
116835_at	224530
9121_at	855448
115939_at	16923
8840_at	855773
54939_at	3400
1119_at	6118
80305_at	9253
6575_at	851447
147138_at	36467
7186_at	852483
11017_at	853453
4170_at	854711
56907_at	58487
253782_at	828977
6853_at	850383
151477_at	33806
8733_at	855559
54880_at	91368
117177_at	66873
201895_at	369
54733_at	9935
54437_at	11107
9451_at	855219
9717_at	854892
257364_at	819202
8701_at	853986
116143_at	217039
64418_at	11276
256309_at	839918
51146_at	55650
10036_at	850984
143686_at	36879
5073_at	852802
5434_at	850498
93081_at	245688
55697_at	54507
11081_at	853369
8535_at	854182
64111_at	58189
145474_at	33121
65094_at	115330
57509_at	57210
4868_at	853023
4791_at	853140
84447_at	2571
116159_at	74145
253573_at	829229
115361_at	213827
9369_at	855318
64170_at	167359
6274_at	851803
6363_at	851706
8940_at	855632
57689_at	7552
57116_at	81533
4064_at	854846
9201_at	855387
9152_at	855429
83876_at	100874101
9232_at	1466504
5165_at	852705
10500_at	853950
81576_at	23513
81573_at	221264
5269_at	852607
9066_at	855528
256815_at	821692
55596_at	283578
128876_at	69587
10229_at	850800
11054_at	853438
54946_at	79087
94160_at	13643
79087_at	11245
8669_at	854030
5641_at	856799
10930_at	853553
10099_at	850953
55625_at	55585
963_at	3981
55776_at	7706
56851_at	81627
142689_at	14462630
57600_at	9360
6598_at	851426
6812_at	850434
10464_at	853960
9542_at	855126
6168_at	851888
1521_at	4830
4005_at	854598
9550_at	855135
8558_at	854158
7620_at	856251
1135_at	2869
152273_at	42920
475_at	8737
91663_at	3762
91133_at	158234
257236_at	820740
9382_at	855284
160518_at	67830
