,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
14,X1014,0.108927328,-0.149586689,0.172669938,0.125787388,-0.05341838,0.08983498,0.174377787,0.068582412,-0.0060238,-0.160087881,0.037106308,
15,X1015,0.166181907,0.162818344,0.246648557,0.272245713,0.281862127,0.205323036,0.10856335,0.340529686,0.110370499,0.180215849,0.207475907,
16,X1016,0.216698845,0.534122801,0.146363092,0.355690232,0.558136196,0.365354151,0.525271555,0.385827802,0.397278295,0.383929429,0.38686724,
17,X1017,0.424122947,0.34205798,0.517684414,0.32721823,0.483230915,0.406549659,0.468103196,0.367112102,0.353902042,0.367574696,0.405755618,
18,X1018,0.248617002,0.383294853,0.387716608,0.461301207,0.365293155,0.507925159,0.635629675,0.402785104,0.447119766,0.475404284,0.431508681,
19,X1019,0.49694706,0.634705311,0.558421943,0.686272,0.442865956,0.536637257,0.601894306,0.521554648,0.505696463,0.513148687,0.549814363,
20,X1020,0.53702092,0.35516973,0.523811792,0.275068776,0.321462834,0.424137093,0.414112748,0.393362865,0.186050934,0.335597206,0.37657949,
21,X1021,0.43039911,0.599682459,0.468716776,0.412736634,0.439807988,0.472005007,0.361098576,0.329114668,0.528173213,0.453387171,0.44951216,
22,X1022,0.545061258,0.713980713,0.625407254,0.536154425,0.568018278,0.695504715,0.607489534,0.633049749,0.446923785,0.544511198,0.591610091,
23,X1023,0.30751071,0.206183122,0.075575296,0.413107808,0.159800505,0.107666623,0.213034152,0.278827759,0.146938603,0.38094156,0.228958614,
24,X1024,0.356660587,0.329748223,0.545633651,0.316517805,0.34069617,0.396695959,0.502175246,0.269715465,0.233811597,0.414895661,0.370655036,
25,X1025,0.246143645,0.319290833,0.385698749,0.235124803,0.384193451,0.302381675,0.159485766,0.472429315,0.100972698,0.416837548,0.302255848,
26,X1026,0.320629282,0.301001618,0.164699774,0.251311652,0.07532377,0.252825614,0.244209502,0.209031376,0.173754795,0.09278415,0.208557153,
27,X1028,0.234658653,0.426817824,0.289138218,0.465503653,0.503314689,0.374162958,0.39749498,0.44455103,0.52967959,0.425504508,0.40908261,
28,X1029,0.170512678,0.187258675,0.258548735,0.240073335,0.183469475,0.165619595,0.373911025,0.217837676,0.297610881,0.292666822,0.23875089,
29,X1030,0.456836651,0.508951734,0.54006505,0.526612721,0.390565851,0.32508226,0.346199557,0.509356741,0.578711975,0.427721238,0.461010378,
30,X1031,0.184794902,0.359311109,0.424623999,0.271790812,0.37035702,0.406514978,0.433369604,0.436858336,0.376589251,0.200017347,0.346422736,
31,X1032,-0.141986935,0.146371623,0.185220274,0.158276316,0.177871313,-0.046013676,0.009012639,0.115940403,-0.016623551,0.225868653,0.081393706,
32,X1033,0.474564353,0.543120039,0.592290033,0.324320608,0.414999255,0.363722415,0.36760894,0.398794532,0.44665856,0.352655725,0.427873446,
33,X1036,0.509791958,0.378916287,0.509140808,0.430155702,0.259702023,0.29082169,0.402377336,0.488206739,0.257953225,0.429560392,0.395662616,
34,X1037,0.525350107,0.609688267,0.526769645,0.497419962,0.461107781,0.420202416,0.548661555,0.560036834,0.591135474,0.553048995,0.529342104,
35,X1038,0.468411424,0.556513019,0.619580444,0.501768337,0.622768833,0.516573516,0.492857438,0.503952,0.45752246,0.422000585,0.516194806,
36,X1039,0.281903162,0.404752212,0.304524501,0.311699907,0.582767779,0.442405585,0.53010874,0.49086491,0.434410279,0.454069449,0.423750653,
37,X104,0.593254106,0.692552662,0.454186453,0.408654198,0.568818435,0.627020702,0.539951138,0.481812782,0.460092726,0.479344152,0.530568736,
38,X1042,0.257854127,0.263452102,0.304732912,0.252301139,0.289722375,0.352980941,0.398597082,0.549118842,0.290019616,0.458841466,0.34176206,
39,X1043,0.381709705,0.367939412,0.358042084,0.22160825,0.365999677,0.395011492,0.300370628,0.337221808,-0.050461456,0.434415456,0.311185706,
40,X1046,0.365864866,0.304450059,0.486060162,0.511458697,0.416052536,0.508004762,0.339064417,0.42839009,0.251806245,0.328570606,0.393972244,
41,X1047,0.599542951,0.448408643,0.309727393,0.467714346,0.386410737,0.557054505,0.403657694,0.551313286,0.424354332,0.497992987,0.464617687,
42,X1049,0.36224878,0.265263811,0.339434188,0.287290815,0.305375434,0.396170177,0.533577453,0.463827863,0.298748754,0.433549751,0.368548703,
