"","V1","V2.x","V2.y","V2.x","V2.y","V2.x","V2.y","V2.x","V2.y","V2.x","V2.y"
"13","X1014",0.877583555329434,0.705751185368744,0.746147682102096,0.835642842579808,0.730341816188021,0.783193637440534,0.828001690980478,0.631933490176339,0.769705094102501,0.73477329776889
"14","X1015",0.726106130965921,0.626300545903067,0.781819997255368,0.816849829960907,0.742285268342992,0.772505761137366,0.732378773556609,0.741897455619629,0.593567137363455,0.636454223406953
"15","X1016",0.558370368386681,0.748737053321083,0.481331335004681,0.567867606506339,0.548672374771503,0.688653152199501,0.641967590179877,0.591160819632536,0.727732785090435,0.699234524884318
"16","X1017",0.582793390706589,0.819282475064433,0.472300021844762,0.672553448572575,0.698654966322032,0.696271469651726,0.727591928408383,0.599666573438878,0.631908820807392,0.750964719811765
"17","X1018",0.390367366751334,0.621738014744999,0.733592235077691,0.613165785949496,0.461632717220413,0.695138347139314,0.802345586008282,0.651402969010457,0.658576413735472,0.535210470869956
"18","X1019",0.537217003127226,0.698471685255048,0.771377587817573,0.79114888259302,0.70276656888193,0.694922067423058,0.698056951527666,0.72109244929024,0.605766761288076,0.63276155720321
"19","X1020",0.754793605114901,0.687706330050727,0.64145378580777,0.73048480196862,0.584678848792255,0.740417148736861,0.560772576823169,0.656883188945958,0.412059460651885,0.683674703204617
"20","X1021",0.724998966386598,0.848422730421438,0.646102719070818,0.739661182005872,0.520132297623335,0.778156767339639,0.622142693356573,0.733162255342981,0.690097195062496,0.722272390128116
"21","X1022",0.722307936423231,0.622395991065915,0.521172433243077,0.714999840874214,0.707903272994669,0.740494836282767,0.580124902129527,0.701869111748791,0.521706527994349,0.556574655246193
"22","X1023",0.594617313905459,0.695629153277311,0.264327244088044,0.702628779510625,0.167883935620545,0.297515269148504,0.290251230123724,0.297746336439524,0.343774594988677,0.470519541537164
"23","X1024",0.712330625893646,0.811170042474788,0.625758046441062,0.676163171916512,0.299915740737319,0.681864108979822,0.699923265887338,0.737664397154026,0.683864687916469,0.813764306437839
"24","X1025",0.413033995008342,0.602171568454962,0.581481058623195,0.514787720493792,0.548465142301686,0.420339231154386,0.552693226597995,0.725327643898055,0.343204610028585,0.590793514714543
"25","X1026",0.574617048835253,0.560916221774785,0.671772839979507,0.798870216000799,0.541606329943858,0.689579108125358,0.589003803625028,0.556739690704538,0.65057683797198,0.63995744010796
"26","X1028",0.540344702345945,0.480943171787872,0.394834057735011,0.595947128397201,0.685650543448736,0.634864459484796,0.793355890385365,0.773837883748935,0.803503082180689,0.798660070804543
"27","X1029",0.576920117500343,0.663315245093592,0.368910374058782,0.447718870784387,0.578806693773064,0.449393722889741,0.415579972785213,0.450327109508516,0.506777548328344,0.703383451821597
"28","X1030",0.609756374361906,0.45022735702591,0.587235752039792,0.814579550457765,0.637706746458133,0.614183007043237,0.702527382970768,0.667266494688816,0.646123198296392,0.674186177122419
"29","X1031",0.251978504786665,0.409065339734553,0.632638796715734,0.303739101982666,0.564485326695932,0.369241805104276,0.437273037063379,0.611995714835982,0.643834113983625,0.468386166296298
"30","X1032",0.31760566042266,0.708310920692573,0.631116864304091,0.372174402885192,0.663435838875162,0.415264272480401,0.562316612867933,0.286619397930547,0.648651883601475,0.694612724226311
"31","X1033",0.68885101581057,0.681000798984554,0.673143056905549,0.711385340652323,0.690923627167265,0.693571347472863,0.722224326523596,0.697299039186038,0.538125107186407,0.742663936966842
"32","X1036",0.735046667771818,0.477829429110718,0.506522396702353,0.568334450146178,0.6327704612263,0.597557635199951,0.509386371830038,0.577077087440864,0.730149315855864,0.677282367927641
