,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
16,X1016,0.298328593,0.657121432,0.41936041,0.371512048,0.477266689,0.576809895,0.56164999,0.526639653,0.558272769,0.357368655,0.480433013,
17,X1017,0.597035531,0.681288858,0.561683341,0.566039965,0.637582018,0.639418813,0.672505023,0.628515531,0.493610582,0.62575351,0.610343317,
18,X1018,0.424030035,0.599162544,0.529829231,0.609077207,0.561407495,0.613168541,0.714153145,0.488342224,0.598910908,0.529076728,0.566715806,
19,X1019,0.478856877,0.636922919,0.653758806,0.626527394,0.552207923,0.678792783,0.584128768,0.600274446,0.490625672,0.541572406,0.584366799,
20,X1020,0.759979021,0.656084373,0.513721998,0.618023885,0.536786356,0.509697962,0.577249266,0.582671171,0.299845627,0.560857278,0.561491694,
21,X1021,0.544168929,0.745614381,0.470177328,0.573503034,0.544688958,0.504938976,0.560218162,0.419314035,0.585601019,0.64765058,0.55958754,
22,X1022,0.560577328,0.573252947,0.60713526,0.502764746,0.592983782,0.619462457,0.555249552,0.657060201,0.50161445,0.518041685,0.568814241,
23,X1023,0.397318882,0.370054939,0.244226041,0.457373286,0.051118242,0.259835066,0.201980446,0.289594447,0.14729889,0.402810815,0.282161105,
24,X1024,0.661262561,0.577864643,0.642909983,0.668663404,0.49969178,0.727481269,0.717327158,0.672883225,0.658626929,0.709031049,0.6535742,
25,X1025,0.361029464,0.47210836,0.489994215,0.448426654,0.423098543,0.402981955,0.510962922,0.606394812,0.277865713,0.505484792,0.449834743,
26,X1026,0.253412998,0.235839909,0.250986661,0.375778343,0.20292145,0.142937746,0.273251461,0.12916253,0.155370105,0.162812215,0.218247342,
27,X1028,0.524078164,0.527757083,0.503417742,0.546187312,0.609813463,0.621848111,0.56667227,0.556365615,0.730875369,0.602729856,0.578974498,
28,X1029,0.415323989,0.472855485,0.367528482,0.346175457,0.365820584,0.369837641,0.434900341,0.224043599,0.363836503,0.508872501,0.386919458,
29,X1030,0.57702331,0.465790786,0.551922514,0.533677773,0.565219517,0.423717993,0.530123548,0.558085182,0.650178288,0.551946556,0.540768547,
30,X1031,0.298941086,0.40155123,0.445511609,0.334832794,0.407903248,0.318872232,0.471841738,0.359427363,0.390205431,0.098891967,0.35279787,
31,X1032,-0.007648014,0.331748552,0.183938171,0.127919566,0.31479427,0.062991049,0.22408328,-0.059862954,-0.123251989,0.253945066,0.1308657,
32,X1033,0.655092305,0.641215954,0.663842068,0.596594689,0.67213697,0.544969333,0.546307604,0.438296108,0.499367024,0.530172339,0.578799439,
33,X1036,0.565130849,0.460737699,0.542875135,0.58884683,0.508817708,0.353600592,0.348686868,0.518827009,0.468668323,0.450518733,0.480670975,
34,X1037,0.56217035,0.746065647,0.588274117,0.655417002,0.685169328,0.539960857,0.663216832,0.665128294,0.711665908,0.707494191,0.652456253,
35,X1038,0.520983019,0.576339332,0.734298722,0.570673805,0.662779405,0.598208479,0.586516295,0.526061629,0.580091977,0.460244994,0.581619766,
