,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
22,X1023,0.269449445,0.348888679,0.06827129,0.467652014,0.05316659,0.220351143,0.273142187,0.178750268,0.177217614,0.25970817,0.23165974,
23,X1024,0.514425702,0.381170075,0.420765494,0.416144531,0.185888096,0.539369661,0.538432986,0.415342444,0.402562738,0.414637762,0.422873949,
24,X1025,0.235009565,0.452892587,0.445826473,0.326765307,0.385082339,0.402704311,0.28065998,0.566716622,0.254065406,0.441419977,0.379114257,
25,X1026,0.163277751,0.044003571,0.276713507,0.264362483,0.16027866,0.071032664,0.235737916,0.07894837,0.217556148,0.079947612,0.159185868,
26,X1028,0.444454362,0.537808488,0.345518382,0.569789381,0.636946324,0.510076269,0.58874483,0.568638334,0.581699658,0.524727099,0.530840313,
27,X1029,0.239300948,0.20284433,0.27328637,0.316124236,0.241358046,0.244978824,0.275135921,0.15788069,0.270359232,0.519271561,0.274054016,
28,X1030,0.49528613,0.542801983,0.527858114,0.535835014,0.597072217,0.705162916,0.398881212,0.492034124,0.641104235,0.528976088,0.546501203,
29,X1031,0.195856305,0.39999603,0.276240934,0.340623255,0.377528447,0.253705486,0.291365768,0.33463735,0.38024253,0.054458471,0.290465458,
30,X1032,0.556983061,0.767707313,0.736478068,0.506926155,0.557048883,0.494132219,0.594181133,0.539106228,0.634041099,0.608113187,0.599471735,
31,X1033,0.624823327,0.524938269,0.624494023,0.600622126,0.557289527,0.452462525,0.556438146,0.442282106,0.420294753,0.485064234,0.528870904,
32,X1036,0.666332911,0.493357614,0.492431043,0.609168545,0.551710166,0.489218702,0.534104773,0.564037641,0.599289386,0.573393656,0.557304444,
33,X1038,0.443735395,0.264809775,0.660570205,0.500068246,0.492119041,0.458787341,0.445603626,0.620184087,0.432148347,0.255307244,0.457333331,
