From	To
ENSG00000101138	1477
ENSG00000101132	5203
ENSG00000101134	55816
ENSG00000198221	653483
ENSG00000007384	64285
ENSG00000198223	1438
ENSG00000151148	89910
ENSG00000183862	1260
ENSG00000072071	22859
ENSG00000183864	10766
ENSG00000197614	8076
ENSG00000123080	1031
ENSG00000184599	284467
ENSG00000197616	4624
ENSG00000183856	128239
ENSG00000224729	100129845
ENSG00000197608	284371
ENSG00000244067	2939
ENSG00000101126	23394
ENSG00000008952	7095
ENSG00000159792	5681
ENSG00000126878	83543
ENSG00000170759	3799
ENSG00000124610	3024
ENSG00000183779	80139
ENSG00000124615	4337
ENSG00000103227	64788
ENSG00000188909	390259
ENSG00000124613	346157
ENSG00000103222	4363
ENSG00000188906	120892
ENSG00000183780	148641
ENSG00000084444	57613
ENSG00000068323	7030
ENSG00000157538	10311
ENSG00000181085	225689
ENSG00000188910	2707
ENSG00000140284	11001
ENSG00000140285	2252
ENSG00000077522	88
ENSG00000126870	55112
ENSG00000140287	3067
ENSG00000183784	157983
ENSG00000140280	256586
ENSG00000183783	386617
ENSG00000170745	3790
ENSG00000170748	27288
ENSG00000126882	286336
ENSG00000126883	8021
ENSG00000141837	773
ENSG00000188916	642938
ENSG00000188917	79979
ENSG00000084453	6579
ENSG00000140279	50506
ENSG00000181090	79813
ENSG00000181092	9370
ENSG00000188921	401494
ENSG00000118298	23632
ENSG00000077514	10714
ENSG00000183798	90187
ENSG00000151116	55293
ENSG00000159788	6002
ENSG00000140274	405753
ENSG00000151117	144110
ENSG00000118292	79630
ENSG00000159784	9715
ENSG00000126895	554
ENSG00000011332	8193
ENSG00000170734	5429
ENSG00000103202	4833
ENSG00000124635	8970
ENSG00000158604	222068
ENSG00000183762	83999
ENSG00000157557	2114
ENSG00000068305	4205
ENSG00000183763	10293
ENSG00000170743	143425
ENSG00000183760	390928
ENSG00000157554	2078
ENSG00000198208	83694
ENSG00000126890	30848
ENSG00000140262	6938
ENSG00000068308	55593
ENSG00000198203	6819
ENSG00000157551	3772
ENSG00000140264	10169
ENSG00000140265	146050
ENSG00000183765	11200
ENSG00000124641	9477
ENSG00000011347	9066
ENSG00000181072	1129
ENSG00000140259	4236
ENSG00000183770	668
ENSG00000181074	390072
ENSG00000151131	121053
ENSG00000151136	121551
ENSG00000183773	150209
ENSG00000151135	90488
ENSG00000183775	57528
ENSG00000157540	1859
ENSG00000140254	90527
ENSG00000157542	3763
ENSG00000124659	6903
ENSG00000119314	9991
ENSG00000124657	26212
ENSG00000034053	321
ENSG00000119318	5887
ENSG00000185915	257240
ENSG00000185917	54093
ENSG00000125388	2868
ENSG00000157570	90139
ENSG00000125386	8603
ENSG00000125384	5732
ENSG00000157578	150082
ENSG00000185920	5727
ENSG00000007541	9091
ENSG00000185926	119749
ENSG00000004660	84254
ENSG00000185924	146760
ENSG00000170788	143241
ENSG00000124664	25803
