"","x"
"1078",2
"1079",3
"1080",6
"1081",3
"1082",0
"1083",0
"1084",0
"1085",52
"1086",19
"1087",5
"1088",2
"1089",0
"1090",3
"1091",16
"1092",4
"1093",56
"1094",6
"1095",12
"1096",0
"1097",40
"1098",40
"1099",3
"1100",5
"1101",2
"1102",8
"1103",1
"1104",4
"1105",55
"1106",58
"1107",22
"1108",0
"1109",69
"1110",15
"1111",6
"1112",33
"1113",10
"1114",4
"1115",0
"1116",2
"1117",0
"1118",1
"1119",27
"1120",1
"1121",10
"1122",27
"1123",16
"1124",5
"1125",0
"1126",3
"1127",6
"1128",5
"1129",3
"1130",2
"1131",0
"1132",9
"1133",9
"1134",53
"1135",11
"1136",14
"1137",15
"1138",5
"1139",1
"1140",7
"1141",4
"1142",7
"1143",3
"1144",23
"1145",4
"1146",31
"1147",10
"1148",33
"1149",21
"1150",36
"1151",18
"1152",1
"1153",0
"1154",0
"1155",2
"1156",1
"1157",0
"1158",3
"1159",1
"1160",5
"1161",3
"1162",0
"1163",5
"1164",13
"1165",1
"1166",1
"1167",3
"1168",22
"1169",3
"1170",1
"1171",5
"1172",1
"1173",4
"1174",0
"1175",37
"1176",11
"1177",1
"1178",3
"1179",6
"1180",3
"1181",1
"1182",5
"1183",15
"1184",0
"1185",5
"1186",0
"1187",2
"1188",49
"1189",24
"1190",1
"1191",6
"1192",3
"1193",4
"1194",8
"1195",0
"1196",4
"1197",2
"1198",16
"1199",26
"1200",50
"1201",3
"1202",36
"1203",1
"1204",17
"1205",2
"1206",5
"1207",3
"1208",0
"1209",1
"1210",11
"1211",17
"1212",3
"1213",0
"1214",13
"1215",4
"1216",70
"1217",0
"1218",39
"1219",22
"1220",13
"1221",3
"1222",2
"1223",61
"1224",0
"1225",37
"1226",3
"1227",3
"1228",3
"1229",3
"1230",8
"1231",1
"1232",1
"1233",0
"1234",36
"1235",9
"1236",42
"1237",1
"1238",11
"1239",37
"1240",0
"1241",0
"1242",72
"1243",42
"1244",0
"1245",16
"1246",6
"1247",0
"1248",0
"1249",2
"1250",43
"1251",3
