,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
21,X1021,0.57314569,0.741930292,0.537431533,0.580542336,0.509567625,0.647654588,0.586528709,0.500095377,0.55905148,0.594545008,0.583049264,
22,X1022,0.550069738,0.525327812,0.5668575,0.43947809,0.549980817,0.564290724,0.524976164,0.621555039,0.48604024,0.342935668,0.517151179,
23,X1023,0.350740988,0.422653084,0.242108182,0.361049212,0.063414468,0.305359206,0.268667734,0.327755461,0.186913895,0.391013304,0.291967553,
24,X1024,0.643031427,0.610106362,0.69039713,0.647688532,0.602211848,0.675127594,0.598261334,0.658320524,0.61943863,0.652551628,0.639713501,
25,X1025,0.342310021,0.424783,0.485897587,0.214117313,0.36234736,0.423211012,0.357837415,0.481171424,0.272723503,0.487781084,0.385217972,
26,X1026,0.368862408,0.20192436,0.134964618,0.319694478,0.151888716,0.214096777,0.162141143,0.063912822,0.171440022,0.220604859,0.20095302,
27,X1028,0.448204454,0.5362692,0.395575134,0.567822637,0.588041542,0.599374083,0.611941073,0.529870295,0.657507292,0.588820863,0.552342657,
28,X1029,0.251919583,0.190826472,0.236491497,0.260371933,0.242801289,0.236338454,0.49954528,0.163131914,0.276004526,0.387791722,0.274522267,
29,X1030,0.411322718,0.43890638,0.473006879,0.472956823,0.490401676,0.335613245,0.515099702,0.514051467,0.625769997,0.51456687,0.479169576,
30,X1031,0.288974742,0.368740911,0.289888966,0.368038287,0.335584385,0.323116022,0.496406275,0.332455499,0.396875096,0.08940791,0.328948809,
31,X1032,0.022201286,0.378462087,0.176697876,0.248463036,0.33302468,0.223472432,0.179945877,0.043196045,0.08244395,0.266273952,0.195418122,
32,X1033,0.452704798,0.462809955,0.558854537,0.39408508,0.451902236,0.51268315,0.473396542,0.367124716,0.455998275,0.282002787,0.441156208,
33,X1036,0.553323962,0.350006169,0.424107927,0.505599014,0.381454317,0.351002066,0.185339977,0.465984285,0.512623586,0.384604322,0.411404563,
34,X1037,0.569410877,0.665157237,0.589613157,0.550988656,0.62906778,0.46261777,0.629698222,0.640395439,0.702084449,0.666177978,0.610521157,
35,X1038,0.488957003,0.444993719,0.622350444,0.472889341,0.566324619,0.558439178,0.60938229,0.474404145,0.503898935,0.422550508,0.516419018,
36,X1039,0.414534626,0.446926504,0.365293903,0.375809169,0.547077704,0.350392652,0.437167352,0.46109065,0.329828456,0.524786338,0.425290735,
37,X104,0.557696322,0.72083932,0.491790764,0.373386496,0.389649067,0.543938805,0.495467146,0.451833168,0.587599336,0.486291337,0.509849176,
38,X1042,0.20315392,-0.00122641,0.134088363,0.343684034,0.270854358,0.112599867,0.244577356,0.299386577,0.120420714,0.285674592,0.201321337,
39,X1043,0.353767634,0.492333097,0.498102182,0.486773192,0.552768707,0.549081668,0.58786802,0.492561879,0.459124319,0.473003818,0.494538452,
40,X1046,0.459548273,0.395220582,0.411649189,0.530531771,0.48315791,0.492955608,0.513324157,0.359975165,0.30812176,0.31868169,0.42731661,
41,X1047,0.550584668,0.333725715,0.377818032,0.480699753,0.394887806,0.529217473,0.366602156,0.536130357,0.392727895,0.538388859,0.450078271,
42,X1049,0.267650709,0.433691581,0.294149802,0.299889401,0.329336987,0.34513462,0.327664927,0.380963774,0.330886804,0.270396365,0.327976497,
43,X1050,0.544874004,0.635814609,0.559298194,0.586588213,0.586198748,0.578737355,0.581506627,0.57143872,0.638700122,0.655188239,0.593834483,
44,X1052,0.560193804,0.4549274,0.451154403,0.379007977,0.502142368,0.371202935,0.45759882,0.295079746,0.466615366,0.252031211,0.418995403,
45,X1053,0.146480319,0.304685842,0.282758621,0.344296094,0.341127534,0.203068269,0.181236968,0.377360019,0.159665126,0.221298106,0.25619769,
46,X1054,0.634467333,0.569224097,0.474559883,0.452776527,0.572998604,0.481821437,0.491459576,0.553984157,0.519977514,0.493078451,0.524434758,
47,X1057,0.400909034,0.589106703,0.413240247,0.670100652,0.377915937,0.42857878,0.532491497,0.556748317,0.448080061,0.52545211,0.494262334,
48,X1058,0.327538615,0.361443496,0.24930163,0.349315337,0.336761224,0.491601505,0.45827285,0.354141177,0.250744423,0.415900347,0.35950206,
49,X1059,0.460072514,0.357677005,0.530180812,0.477105763,0.504773381,0.411543734,0.505009082,0.427710052,0.420713624,0.402036287,0.449682225,
50,X106,0.181857439,0.696623071,0.277126394,0.574372574,0.659835355,0.680016409,0.684084669,0.310291982,0.465830152,0.535832001,0.506587005,
51,X1060,0.14132287,0.2068422,-0.118185642,-0.038740179,0.062929747,0.118220233,-0.123628554,0.016489791,0.010359408,-0.035848631,0.023976124,
52,X1061,0.438252551,0.388128693,0.243730566,0.367020292,0.377030254,0.509844588,0.553729748,0.383040949,0.316830315,0.329862837,0.390747079,
53,X1062,0.306473711,0.287855933,0.421531122,0.350527413,0.437378204,0.3691886,0.329951231,0.264058859,0.319280194,0.209361913,0.329560718,
54,X1066,0.194769935,0.347701051,0.177547506,0.364728237,0.178765573,0.158857626,0.227511906,0.321629355,0.068141798,0.264092314,0.23037453,
55,X1067,0.374785138,0.305052543,0.365443347,0.121088837,0.208081982,0.252988146,0.382897922,0.418323501,0.203021069,0.368183593,0.299986608,
56,X1069,0.301758302,0.293235251,0.365320386,0.417786721,0.624094522,0.30993416,0.287184523,0.443875187,0.311304853,0.365680303,0.372017421,
57,X1072,0.143135465,0.304337322,0.098484139,0.253207361,0.226095408,0.27782093,0.222529161,0.247540822,0.317337547,0.39781542,0.248830357,
58,X1091,0.21227174,0.320165103,0.198436446,0.321895662,0.240383189,0.23653278,0.417962933,0.296981397,0.001217399,0.018436265,0.226428292,
59,X11,0.665545326,0.750109901,0.8084731,0.80341692,0.783180933,0.772267349,0.642132114,0.736201388,0.628642774,0.779827745,0.736979755,
60,X110,0.369392274,0.569127563,0.599391628,0.620013002,0.545656454,0.165877297,0.554506879,0.524438397,0.404849896,0.623654054,0.497690744,
61,X111,0.618713292,0.509023938,-0.003891672,0.586614322,0.474846313,0.593421483,0.60368114,0.690552217,0.610187763,0.779477029,0.546262583,
62,X1114,0.035898388,-0.116918231,0.109703179,0.140637303,0.104290357,0.034768049,0.02839765,-0.028956357,0.057188058,0.259991627,0.062500002,
63,X1129,0.457003566,0.404612157,0.148673166,0.369292575,0.478024861,0.164095023,0.379027957,0.421743897,0.296576469,0.332370615,0.345142029,
64,X1133,0.322987664,0.460424346,0.434477701,0.331940528,0.368175353,0.321107014,0.419435163,0.442113748,0.276402162,0.322966211,0.370002989,
65,X1142,0.493775375,0.388896179,0.429851482,0.283649909,0.585673992,0.350878686,0.342705836,0.322031343,0.325308697,0.461992042,0.398476354,
66,X1143,0.444262334,0.449795174,0.116626672,0.357785042,0.352310791,0.148830539,0.423051816,0.290785503,0.359579521,0.297335415,0.324036281,
67,X1149,0.488168554,0.506164361,0.482963698,0.422569067,0.438492518,0.496683953,0.572693904,0.497335468,0.46069673,0.55906935,0.49248376,
68,X1158,0.650147855,0.634352164,0.634122201,0.54379245,0.5194079,0.468500804,0.625194859,0.541098086,0.607164323,0.506799665,0.573058031,
69,X1161,0.549085223,0.483050708,0.54525501,0.371979282,0.659703707,0.538017,0.570306796,0.547777378,0.469905381,0.471922768,0.520700325,
70,X1164,0.458710087,0.545216643,0.329122084,0.234191535,0.402263353,0.210180801,0.361737169,0.462120119,0.253220911,0.342240399,0.35990031,
71,X1166,0.514060586,0.417901673,0.658697002,0.349332081,0.517600737,0.532903648,0.484845479,0.293087255,0.440515723,0.39497896,0.460392314,
72,X1170,0.476347018,0.435510358,0.485262265,0.487616815,0.415979828,0.412743015,0.572759018,0.507183733,0.434722124,0.543771074,0.477189525,
73,X1175,0.53861787,0.558472068,0.392295217,0.464008193,0.440232386,0.526943108,0.553892187,0.618524977,0.487216765,0.393132047,0.497333482,
74,X119,0.238338707,0.337855495,0.290859938,0.130001993,0.216143522,-0.023390205,0.210467383,0.499794513,0.321213843,0.306499633,0.252778482,
75,X1192,0.412708855,0.44902359,0.400346211,0.498440958,0.54763642,0.532515531,0.460750342,0.44284946,0.362426061,0.296447961,0.440314539,
76,X1194,0.473051491,0.489377094,0.590640723,0.41555239,0.578374203,0.487586739,0.290553571,0.470911582,0.47106824,0.564940401,0.483205643,
77,X1199,0.379973081,0.508797765,0.532088749,0.481842513,0.542100822,0.405298367,0.527339112,0.683504365,0.621424563,0.658327553,0.534069689,
78,X1203,0.365027208,0.309847594,0.515570927,0.253328547,0.31739843,0.233829962,0.359519987,0.486961513,0.388401748,0.346784439,0.357667036,
79,X1218,0.265585432,0.430260916,0.390788999,0.471619141,0.451531217,0.294607196,0.207565066,0.210718191,0.554786884,0.454418375,0.373188142,
