,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
64,X1133,0.447307272,0.610223252,0.527883981,0.559045533,0.596291969,0.301496131,0.597870984,0.552795064,0.556503202,0.674035649,0.542345304,
65,X1142,0.803779147,0.687128486,0.815867571,0.55834426,0.66680548,0.508045018,0.800654139,0.700551622,0.809247473,0.698689819,0.704911301,
66,X1143,0.526262095,0.325695376,0.480244137,0.301189743,0.446831426,0.544962628,0.402962394,0.404443611,0.398284225,0.471989483,0.430286512,
67,X1149,0.467548131,0.478510439,0.490885947,0.563191224,0.494358888,0.332993065,0.526720399,0.538592563,0.428403354,0.527072215,0.484827623,
68,X1158,0.697363846,0.672786499,0.532055837,0.675424116,0.576709285,0.492703449,0.667640639,0.595567797,0.698983046,0.581663894,0.619089841,
69,X1161,0.590629866,0.678432697,0.551101357,0.336517215,0.664988186,0.550991854,0.600123948,0.599663968,0.443344442,0.504461351,0.552025489,
70,X1164,0.711886275,0.783947181,0.4905821,0.616925586,0.598027067,0.608745267,0.551271131,0.576830337,0.573003005,0.59723645,0.61084544,
71,X1166,0.599145902,0.468001704,0.598916898,0.506913296,0.59624844,0.475853189,0.412110938,0.243993771,0.448245394,0.352853791,0.470228332,
72,X1170,0.626711533,0.652683753,0.575633277,0.669727114,0.605721323,0.53016776,0.627132089,0.586839503,0.589078866,0.58111091,0.604480613,
73,X1175,0.559792706,0.584211011,0.524264977,0.538867263,0.499098498,0.598714199,0.585410594,0.599844449,0.588766468,0.437547811,0.551651797,
74,X119,0.37618648,0.416683299,0.553276865,0.390661065,0.500235073,0.228704196,0.273041869,0.614945604,0.488830893,0.422451316,0.426501666,
75,X1192,0.509101813,0.51083717,0.47023444,0.59308017,0.597347986,0.593166423,0.443731044,0.523558936,0.529290187,0.465150111,0.523549828,
76,X1194,0.578168947,0.489711607,0.518963876,0.545963915,0.644291978,0.477278963,0.204855735,0.439556578,0.452938532,0.658617161,0.501034729,
77,X1199,0.443758378,0.609106558,0.542558207,0.536633111,0.577289233,0.463206492,0.599555087,0.673468094,0.634148943,0.605590538,0.568531464,
78,X1203,0.598911452,0.585885905,0.610169804,0.486073157,0.581864077,0.552313583,0.358931419,0.470128329,0.640378091,0.542858676,0.542751449,
79,X1218,0.366026384,0.57834518,0.549532155,0.577611729,0.520182694,0.465134307,0.277852471,0.44911958,0.669128115,0.478979698,0.493191231,
